rand_point,fid,id1,velo,velostreif,veloweg,einbahn,fuss,name,map_velo,map_fuss,se_anno_ca,objectid,LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SREG_TEXT,SHAPE_LEN,id1_2,kategorie,objectid_2,x,y
2737,,,,,,,,,,,,,,,,,,,,,,,,1952,Basisnetz,1138,2684970.7019166774,1245667.9936630041
2739,,,,,,,,,,,,,,,,,,,,,,,,1954,Basisnetz,1140,2685246.4557378781,1245733.2984091842
2746,,,,,,,,,,,,,,,,,,,,,,,,2297,Basisnetz,1166,2684605.9033896253,1245466.8820325560
2749,,,,,,,,,,,,,,,,,,,,,,,,1925,Basisnetz,1189,2685519.2149627046,1246624.4935899379
2750,,,,,,,,,,,,,,,,,,,,,,,,2375,Basisnetz,1237,2686136.4580908301,1245805.4947050593
2753,,,,,,,,,,,,,,,,,,,,,,,,1871,Hauptnetz,1199,2685158.5434720023,1246105.9054165799
2761,,,,,,,,,,,,,,,,,,,,,,,,1873,Hauptnetz,1218,2684602.1751688244,1246352.3300381950
2792,,,,,,,,,,,,,,,,,,,,,,,,1914,Basisnetz,1279,2685269.1479822649,1246653.0867116828
2821,,,,,,,,,,,,,,,,,,,,,,,,1726,Hauptnetz,1362,2685008.2001071190,1246675.2792680566
2847,,,,,,,,,,,,,,,,,,,,,,,,1890,Hauptnetz,1495,2685285.3736250643,1246419.4950565116
2895,113,9322.000000000000000,1,"0",0,TF,1,Singlistrasse,0,0,,10759.000000000000000,,,,,,,,,,,,,,,2679642.9719598601,1250887.9595730603
2905,128,23314.000000000000000,1,"0",0,"0",0,Michelstrasse,1,0,,22751.000000000000000,,,,,,,,,,,,,,,2679766.1919921688,1250992.5455891734
2949,629,6256.000000000000000,1,"0",0,FT,0,Thurgauerstrasse,0,0,,4552.000000000000000,,,,,,,,,,,,,,,2683960.9416576861,1252063.6780703461
2962,642,15942.000000000000000,1,"0",0,"0",0,Eisfeldstrasse,1,0,,14114.000000000000000,,,,,,,,,,,,,,,2683604.5963263875,1252168.4887929575
2981,661,23197.000000000000000,1,"0",0,"0",0,Bühlwiesenstrasse,0,0,,22326.000000000000000,,,,,,,,,,,,,,,2683637.8474832694,1252414.0621684184
2984,664,22670.000000000000000,1,"0",0,"0",1,Grubenackerstrasse,1,0,,24332.000000000000000,,,,,,,,,,,,,,,2683891.0234836694,1252193.1992165290
3011,692,8535.000000000000000,1,"0",0,"0",1,Primelstrasse,0,0,,11720.000000000000000,,,,,,,,,,,,,,,2681331.3292975444,1251950.8246652989
3029,711,34769.000000000000000,1,"0",0,"0",1,Fussweg,0,0,,36733.000000000000000,,,,,,,,,,,,,,,2681307.4122090959,1252561.2082363097
